,Episode Lengths,Episode Rewards
0,63.0,-105.91925952735568
1,1.0,1000.0
2,410.0,-89.03488425884024
3,460.0,1003.6422197531169
4,424.0,-115.7992688572571
5,1.0,1000.0
6,383.0,1005.8538573046401
7,199.0,-111.71866154485747
8,501.0,-95.54131589035435
9,162.0,-105.01937965144
10,501.0,-97.01327910496092
11,323.0,-103.49029565816492
12,501.0,-99.24426786934335
13,501.0,-91.90434104578473
14,501.0,-106.6628104351968
15,1.0,1000.0
16,147.0,1007.2708049394173
17,182.0,-101.9593827182427
18,501.0,-97.57462587056854
19,501.0,-98.2122531554113
20,213.0,1005.2068475639417
21,1.0,1000.0
22,260.0,1015.7730350816519
23,1.0,1000.0
24,123.0,1010.6287758660876
25,265.0,-108.20715371691949
26,501.0,-94.62264199252002
27,501.0,-109.36924993967375
28,313.0,1012.9128141006422
29,501.0,-90.9282176377273
30,501.0,-108.3493011778651
31,186.0,1008.2928062453387
32,288.0,-113.73961428093872
33,82.0,-5.754557902276332
